cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® Gold 6554S Processor,Q4'23,36,4 GHz,2.2 GHz,180 MB,270.0
Intel® Xeon® Gold 6558Q Processor,Q4'23,32,4.1 GHz,3.2 GHz,60 MB,350.0
Intel® Xeon® Platinum 8558 Processor,Q4'23,48,4 GHz,2.1 GHz,260 MB,330.0
Intel® Xeon® Platinum 8558P Processor,Q4'23,48,4 GHz,2.7 GHz,260 MB,350.0
Intel® Xeon® Platinum 8558U Processor,Q4'23,48,4 GHz,2 GHz,260 MB,300.0
Intel® Xeon® Platinum 8562Y+ Processor,Q4'23,32,4.1 GHz,2.8 GHz,60 MB,300.0
Intel® Xeon® Platinum 8570 Processor,Q4'23,56,4 GHz,2.1 GHz,300 MB,350.0
Intel® Xeon® Platinum 8580 Processor,Q4'23,60,4 GHz,2 GHz,300 MB,350.0
Intel® Xeon® Platinum 8581V Processor,Q4'23,60,3.9 GHz,2 GHz,300 MB,270.0
Intel® Xeon® Platinum 8592+ Processor,Q4'23,64,3.9 GHz,1.9 GHz,320 MB,350.0
Intel® Xeon® Platinum 8592V Processor,Q4'23,64,3.9 GHz,2 GHz,320 MB,330.0
Intel® Xeon® Platinum 8593Q Processor,Q4'23,64,3.9 GHz,2.2 GHz,320 MB,385.0
Intel® Xeon® Silver 4514Y Processor,Q4'23,16,3.4 GHz,2 GHz,30 MB,150.0
Intel® Xeon® Silver 4516Y+ Processor,Q4'23,24,3.7 GHz,2.2 GHz,45 MB,185.0
Intel® Xeon® Gold 5403N Processor,Q4'23,12,3.9 GHz,2 GHz,22.5 MB,115.0
Intel® Xeon® Gold 6403N Processor,Q3'23,24,3.60 GHz,1.90 GHz,45 MB,185.0
Intel® Xeon® Gold 6423N Processor,Q3'23,28,3.60 GHz,2.00 GHz,52.5 MB,195.0
Intel® Xeon® Gold 6433N Processor,Q3'23,32,3.60 GHz,2.00 GHz,60 MB,205.0
Intel® Xeon® Gold 6433NE Processor,Q3'23,32,3.60 GHz,2.00 GHz,60 MB,205.0
Intel® Xeon® Gold 6443N Processor,Q3'23,32,3.60 GHz,2.00 GHz,60 MB,195.0
Intel® Xeon® Platinum 8444H Processor,Q1'23,16,4.00 GHz,2.90 GHz,45 MB,270.0
Intel® Xeon® Platinum 8450H Processor,Q1'23,28,3.50 GHz,2.00 GHz,75 MB,250.0
Intel® Xeon® Platinum 8452Y Processor,Q1'23,36,3.20 GHz,2.00 GHz,67.5 MB,300.0
Intel® Xeon® Platinum 8454H Processor,Q1'23,32,3.40 GHz,2.10 GHz,82.5 MB,270.0
Intel® Xeon® Platinum 8458P Processor,Q1'23,44,3.80 GHz,2.70 GHz,82.5 MB,350.0
Intel® Xeon® Platinum 8460H Processor,Q1'23,40,3.80 GHz,2.20 GHz,105 MB,330.0
Intel® Xeon® Platinum 8460Y+ Processor,Q1'23,40,3.70 GHz,2.00 GHz,105 MB,300.0
Intel® Xeon® Platinum 8461V Processor,Q1'23,48,3.70 GHz,2.20 GHz,97.5 MB,300.0
Intel® Xeon® Platinum 8462Y+ Processor,Q1'23,32,4.10 GHz,2.80 GHz,60 MB,300.0
Intel® Xeon® Platinum 8468 Processor,Q1'23,48,3.80 GHz,2.10 GHz,105 MB,350.0
Intel® Xeon® Platinum 8468H Processor,Q1'23,48,3.80 GHz,2.10 GHz,105 MB,330.0
Intel® Xeon® Platinum 8468V Processor,Q1'23,48,3.80 GHz,2.40 GHz,97.5 MB,330.0
Intel® Xeon® Platinum 8470 Processor,Q1'23,52,3.80 GHz,2.00 GHz,105 MB,350.0
Intel® Xeon® Platinum 8470N Processor,Q1'23,52,3.60 GHz,1.70 GHz,97.5 MB,300.0
Intel® Xeon® Platinum 8470Q Processor,Q1'23,52,3.80 GHz,2.10 GHz,105 MB,350.0
Intel® Xeon® Platinum 8471N Processor,Q1'23,52,3.60 GHz,1.80 GHz,97.5 MB,300.0
Intel® Xeon® Platinum 8480+ Processor,Q1'23,56,3.80 GHz,2.00 GHz,105 MB,350.0
Intel® Xeon® Platinum 8490H Processor,Q1'23,60,3.50 GHz,1.90 GHz,112.5 MB,350.0
Intel® Xeon® Gold 5411N Processor,Q1'23,24,3.90 GHz,1.90 GHz,45 MB,165.0
Intel® Xeon® Gold 5412U Processor,Q1'23,24,3.90 GHz,2.10 GHz,45 MB,185.0
Intel® Xeon® Gold 5415+ Processor,Q1'23,8,4.10 GHz,2.90 GHz,22.5 MB,150.0
Intel® Xeon® Gold 5416S Processor,Q1'23,16,4.00 GHz,2.00 GHz,30 MB,150.0
Intel® Xeon® Gold 5418N Processor,Q1'23,24,3.80 GHz,1.80 GHz,45 MB,165.0
Intel® Xeon® Gold 5418Y Processor,Q1'23,24,3.80 GHz,2.00 GHz,45 MB,185.0
Intel® Xeon® Gold 5420+ Processor,Q1'23,28,4.10 GHz,2.00 GHz,52.5 MB,205.0
Intel® Xeon® Gold 5423N Processor,Q1'23,20,4.00 GHz,2.10 GHz,37.5 MB,145.0
Intel® Xeon® Gold 5433N Processor,Q1'23,20,4.10 GHz,2.30 GHz,37.5 MB,160.0
Intel® Xeon® Gold 6414U Processor,Q1'23,32,3.40 GHz,2.00 GHz,60 MB,250.0
Intel® Xeon® Gold 6416H Processor,Q1'23,18,4.20 GHz,2.20 GHz,45 MB,165.0
Intel® Xeon® Gold 6418H Processor,Q1'23,24,4.00 GHz,2.10 GHz,60 MB,185.0
Intel® Xeon® Gold 6421N Processor,Q1'23,32,3.60 GHz,1.80 GHz,60 MB,185.0
Intel® Xeon® Gold 6426Y Processor,Q1'23,16,4.10 GHz,2.50 GHz,37.5 MB,185.0
Intel® Xeon® Gold 6428N Processor,Q1'23,32,3.80 GHz,1.80 GHz,60 MB,185.0
Intel® Xeon® Gold 6430 Processor,Q1'23,32,3.40 GHz,2.10 GHz,60 MB,270.0
Intel® Xeon® Gold 6434 Processor,Q1'23,8,4.10 GHz,3.70 GHz,22.5 MB,195.0
Intel® Xeon® Gold 6434H Processor,Q1'23,8,4.10 GHz,3.70 GHz,22.5 MB,195.0
Intel® Xeon® Gold 6438M Processor,Q1'23,32,3.90 GHz,2.20 GHz,60 MB,205.0
Intel® Xeon® Gold 6438N Processor,Q1'23,32,3.60 GHz,2.00 GHz,60 MB,205.0
Intel® Xeon® Gold 6438Y+ Processor,Q1'23,32,4.00 GHz,2.00 GHz,60 MB,205.0
Intel® Xeon® Gold 6442Y Processor,Q1'23,24,4.00 GHz,2.60 GHz,60 MB,225.0
Intel® Xeon® Gold 6444Y Processor,Q1'23,16,4.00 GHz,3.60 GHz,45 MB,270.0
Intel® Xeon® Gold 6448H Processor,Q1'23,32,4.10 GHz,2.40 GHz,60 MB,250.0
Intel® Xeon® Gold 6448Y Processor,Q1'23,32,4.10 GHz,2.10 GHz,60 MB,225.0
Intel® Xeon® Gold 6454S Processor,Q1'23,32,3.40 GHz,2.20 GHz,60 MB,270.0
Intel® Xeon® Gold 6458Q Processor,Q1'23,32,4.00 GHz,3.10 GHz,60 MB,350.0
Intel® Xeon® Silver 4410T Processor,Q1'23,10,4.00 GHz,2.70 GHz,26.25 MB,150.0
Intel® Xeon® Silver 4410Y Processor,Q1'23,12,3.90 GHz,2.00 GHz,30 MB,150.0
Intel® Xeon® Silver 4416+ Processor,Q1'23,20,3.90 GHz,2.00 GHz,37.5 MB,165.0
Intel® Xeon® Bronze 3408U Processor,Q1'23,8,1.90 GHz,1.80 GHz,22.5 MB,125.0
Intel® Xeon® CPU Max 9460 Processor,Q1'23,40,3.50 GHz,2.20 GHz,97.5 MB,350.0
Intel® Xeon® CPU Max 9462 Processor,Q1'23,32,3.50 GHz,2.70 GHz,75 MB,350.0
Intel® Xeon® CPU Max 9468 Processor,Q1'23,48,3.50 GHz,2.10 GHz,105 MB,350.0
