cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® Processor E3-1535M v6,Q1'17,4,4.20 GHz,3.10 GHz,8 MB,45.0
Intel® Celeron® Processor G3950,Q1'17,2,,3.00 GHz,2 MB,51.0
Intel® Core™ i3-7100E Processor,Q1'17,2,,2.90 GHz,3 MB,35.0
Intel® Core™ i3-7101E Processor,Q1'17,2,,3.90 GHz,3 MB Intel® Smart Cache,54.0
Intel® Core™ i5-7400T Processor,Q1'17,4,3.00 GHz,2.40 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i5-7Y57 Processor,Q1'17,2,3.30 GHz,1.20 GHz,4 MB Intel® Smart Cache,4.5
Intel® Core™ i7-7700HQ Processor,Q1'17,4,3.80 GHz,2.80 GHz,6 MB,45.0
Intel® Core™ i7-7700K Processor,Q1'17,4,4.50 GHz,4.20 GHz,8 MB Intel® Smart Cache,91.0
Intel® Core™ i7-7820HK Processor,Q1'17,4,3.90 GHz,2.90 GHz,8 MB,45.0
Intel® Core™ i7-7920HQ Processor,Q1'17,4,4.10 GHz,3.10 GHz,8 MB,45.0
Intel® Pentium® Gold Processor 4410Y,Q1'17,2,,1.50 GHz,2 MB Intel® Smart Cache,6.0
Intel® Xeon® Processor E3-1505L v6,Q1'17,4,3.00 GHz,2.20 GHz,8 MB,25.0
Intel® Xeon® Processor E3-1505M v6,Q1'17,4,4.00 GHz,3.00 GHz,8 MB,45.0
Intel® Core™ i3-6006U Processor,Q4'16,2,,2.00 GHz,3 MB Intel® Smart Cache,15.0
Intel Atom® x5-E3930 Processor,Q4'16,2,,1.30 GHz,2 MB L2 Cache,6.5
Intel Atom® x5-E3940 Processor,Q4'16,4,,1.60 GHz,2 MB L2 Cache,9.5
Intel Atom® x7-E3950 Processor,Q4'16,4,,1.60 GHz,2 MB L2 Cache,12.0
Intel® Xeon® Processor E5-2699A v4,04'16,22,3.60 GHz,2.40 GHz,55 MB,145.0
Intel® Xeon® Processor E5-2699R v4,04'16,22,3.60 GHz,2.20 GHz,55 MB,145.0
Intel® Core™ i7-7600U Processor,Q3'16,2,3.90 GHz,2.80 GHz,4 MB Intel® Smart Cache,15.0
Intel® Xeon® Processor E3-1501L v6,Q3'16,4,2.90 GHz,2.10 GHz,6 MB,25.0
Intel® Xeon® Processor E3-1501M v6,Q3'16,4,3.60 GHz,2.90 GHz,6 MB,45.0
Intel® Core™ i3-6157U Processor,Q3'16,2,,2.40 GHz,3 MB Intel® Smart Cache,28.0
Intel® Celeron® Processor J3355,Q3'16,2,,2.00 GHz,2 MB,10.0
Intel® Celeron® Processor J3455,Q3'16,4,,1.50 GHz,2 MB,10.0
Intel® Celeron® Processor N3350,Q3'16,2,,1.10 GHz,2 MB L2 Cache,6.0
Intel® Celeron® Processor N3450,Q3'16,4,,1.10 GHz,2 MB L2 Cache,6.0
Intel® Core™ i3-7100U Processor,Q3'16,2,,2.40 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i5-7200U Processor,Q3'16,2,3.10 GHz,2.50 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i5-7Y54 Processor,Q3'16,2,3.20 GHz,1.20 GHz,4 MB Intel® Smart Cache,4.5
Intel® Core™ i7-7500U Processor,Q3'16,2,3.50 GHz,2.70 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i7-7Y75 Processor,Q3'16,2,3.60 GHz,1.30 GHz,4 MB Intel® Smart Cache,4.5
Intel® Core™ m3-7Y30 Processor,Q3'16,2,2.60 GHz,1.00 GHz,4 MB Intel® Smart Cache,4.5
Intel® Pentium® Processor J4205,Q3'16,4,,1.50 GHz,2 MB,10.0
Intel® Pentium® Processor N4200,Q3'16,4,,1.10 GHz,2 MB L2 Cache,6.0
Intel® Xeon Phi™ Processor 7210,Q2'16,64,1.50 GHz,1.30 GHz,32 MB L2 Cache,215.0
Intel® Xeon Phi™ Processor 7210F,Q4'16,64,1.50 GHz,1.30 GHz,32 MB L2 Cache,230.0
Intel® Xeon Phi™ Processor 7230,Q2'16,64,1.50 GHz,1.30 GHz,32 MB L2 Cache,215.0
Intel® Xeon Phi™ Processor 7230F,Q4'16,64,1.50 GHz,1.30 GHz,32 MB L2 Cache,230.0
Intel® Xeon Phi™ Processor 7250,Q2'16,68,1.60 GHz,1.40 GHz,34 MB L2 Cache,215.0
Intel® Xeon Phi™ Processor 7250F,Q4'16,68,1.60 GHz,1.40 GHz,34 MB L2 Cache,230.0
Intel® Xeon Phi™ Processor 7290,Q4'16,72,1.70 GHz,1.50 GHz,36 MB L2 Cache,245.0
Intel® Xeon Phi™ Processor 7290F,Q4'16,72,1.70 GHz,1.50 GHz,36 MB L2 Cache,260.0
Intel® Xeon® Processor E5-4610 v4,Q2'16,10,1.80 GHz,1.80 GHz,25 MB,105.0
Intel® Xeon® Processor E5-4620 v4,Q2'16,10,2.60 GHz,2.10 GHz,25 MB,105.0
Intel® Xeon® Processor E5-4628L v4,Q2'16,14,2.20 GHz,1.80 GHz,35 MB,75.0
Intel® Xeon® Processor E5-4650 v4,Q2'16,14,2.80 GHz,2.20 GHz,35 MB,105.0
Intel® Xeon® Processor E5-4655 v4,Q2'16,8,3.20 GHz,2.50 GHz,30 MB,135.0
Intel® Xeon® Processor E5-4660 v4,Q2'16,16,3.00 GHz,2.20 GHz,40 MB,120.0
Intel® Xeon® Processor E5-4667 v4,Q2'16,18,3.00 GHz,2.20 GHz,45 MB,135.0
Intel® Xeon® Processor E5-4669 v4,Q2'16,22,3.00 GHz,2.20 GHz,55 MB,135.0
Intel® Xeon® Processor E5-4627 v4,Q2'16,10,3.20 GHz,2.60 GHz,25 MB,135.0
Intel® Xeon® Processor E5-4640 v4,Q2'16,12,2.60 GHz,2.10 GHz,30 MB,105.0
Intel® Xeon® Processor E5-1620 v4,Q2'16,4,3.80 GHz,3.50 GHz,10 MB,140.0
Intel® Xeon® Processor E5-1630 v4,Q2'16,4,4.00 GHz,3.70 GHz,10 MB,140.0
Intel® Xeon® Processor E5-1650 v4,Q2'16,6,4.00 GHz,3.60 GHz,15 MB,140.0
Intel® Xeon® Processor E5-1660 v4,Q2'16,8,3.80 GHz,3.20 GHz,20 MB,140.0
Intel® Xeon® Processor E5-1680 v4,Q2'16,8,4.00 GHz,3.40 GHz,20 MB,140.0
Intel® Xeon® Processor E7-4809 v4,Q2'16,8,,2.10 GHz,20 MB,115.0
Intel® Xeon® Processor E7-4820 v4,Q2'16,10,,2.00 GHz,25 MB,115.0
Intel® Xeon® Processor E7-4830 v4,Q2'16,14,2.80 GHz,2.00 GHz,35 MB,115.0
Intel® Xeon® Processor E7-4850 v4,Q2'16,16,2.80 GHz,2.10 GHz,40 MB,115.0
Intel® Xeon® Processor E7-8860 v4,Q2'16,18,3.20 GHz,2.20 GHz,45 MB,140.0
Intel® Xeon® Processor E7-8867 v4,Q2'16,18,3.30 GHz,2.40 GHz,45 MB,165.0
Intel® Xeon® Processor E7-8870 v4,Q2'16,20,3.00 GHz,2.10 GHz,50 MB,140.0
Intel® Xeon® Processor E7-8880 v4,Q2'16,22,3.30 GHz,2.20 GHz,55 MB,150.0
Intel® Xeon® Processor E7-8890 v4,Q2'16,24,3.40 GHz,2.20 GHz,60 MB,165.0
Intel® Xeon® Processor E7-8891 v4,Q2'16,10,3.50 GHz,2.80 GHz,60 MB,165.0
Intel® Xeon® Processor E7-8893 v4,Q2'16,4,3.50 GHz,3.20 GHz,60 MB,140.0
Intel® Xeon® Processor E3-1558L v5,Q2'16,4,3.30 GHz,1.90 GHz,8 MB,45.0
Intel® Xeon® Processor E3-1565L v5,Q2'16,4,3.50 GHz,2.50 GHz,8 MB,35.0
Intel® Xeon® Processor E3-1578L v5,Q2'16,4,3.40 GHz,2.00 GHz,8 MB,45.0
Intel® Xeon® Processor E3-1585 v5,Q2'16,4,3.90 GHz,3.50 GHz,8 MB,65.0
Intel® Xeon® Processor E3-1585L v5,Q2'16,4,3.70 GHz,3.00 GHz,8 MB,45.0
Intel® Core™ i7-6800K Processor,Q2'16,6,3.60 GHz,3.40 GHz,15 MB Intel® Smart Cache,140.0
Intel® Core™ i7-6850K Processor,Q2'16,6,3.80 GHz,3.60 GHz,15 MB,140.0
Intel® Core™ i7-6900K Processor,Q2'16,8,3.70 GHz,3.20 GHz,20 MB,140.0
Intel® Core™ i7-6950X Processor Extreme Edition,Q2'16,10,3.50 GHz,3.00 GHz,25 MB,140.0
Intel® Core™ i5-6585R Processor,Q2'16,4,3.60 GHz,2.80 GHz,6 MB,65.0
Intel® Core™ i5-6685R Processor,Q2'16,4,3.80 GHz,3.20 GHz,6 MB,65.0
Intel® Core™ i7-6785R Processor,Q2'16,4,3.90 GHz,3.30 GHz,8 MB,65.0
Intel® Pentium® Processor D1519,Q2'16,4,2.10 GHz,1.50 GHz,6 MB,25.0
Intel® Xeon® Processor D-1529,Q2'16,4,1.30 GHz,1.30 GHz,6 MB,20.0
Intel® Xeon® Processor D-1539,Q2'16,8,2.20 GHz,1.60 GHz,12 MB,35.0
Intel® Xeon® Processor D-1559,Q2'16,12,2.10 GHz,1.50 GHz,18 MB,45.0
Intel® Xeon® Processor E5-2603 v4,Q1'16,6,,1.70 GHz,15 MB Intel® Smart Cache,85.0
Intel® Xeon® Processor E5-2608L v4,Q1'16,8,1.70 GHz,1.60 GHz,20 MB Intel® Smart Cache,50.0
Intel® Xeon® Processor E5-2620 v4,Q1'16,8,3.00 GHz,2.10 GHz,20 MB Intel® Smart Cache,85.0
Intel® Xeon® Processor E5-2630 v4,Q1'16,10,3.10 GHz,2.20 GHz,25 MB Intel® Smart Cache,85.0
Intel® Xeon® Processor E5-2648L v4,Q1'16,14,2.50 GHz,1.80 GHz,35 MB Intel® Smart Cache,75.0
Intel® Xeon® Processor E5-2650 v4,Q1'16,12,2.90 GHz,2.20 GHz,30 MB Intel® Smart Cache,105.0
Intel® Xeon® Processor E5-2650L v4,Q1'16,14,2.50 GHz,1.70 GHz,35 MB Intel® Smart Cache,65.0
Intel® Xeon® Processor E5-2680 v4,Q1'16,14,3.30 GHz,2.40 GHz,35 MB Intel® Smart Cache,120.0
Intel® Xeon® Processor E5-2683 v4,Q1'16,16,3.00 GHz,2.10 GHz,40 MB Intel® Smart Cache,120.0
Intel® Xeon® Processor E5-2687W v4,Q1'16,12,3.50 GHz,3.00 GHz,30 MB Intel® Smart Cache,160.0
Intel® Xeon® Processor E5-2690 v4,Q1'16,14,3.50 GHz,2.60 GHz,35 MB Intel® Smart Cache,135.0
Intel® Xeon® Processor E5-2695 v4,Q1'16,18,3.30 GHz,2.10 GHz,45 MB Intel® Smart Cache,120.0
Intel® Xeon® Processor E5-2697 v4,Q1'16,18,3.60 GHz,2.30 GHz,45 MB Intel® Smart Cache,145.0
Intel® Xeon® Processor E5-2697A v4,Q1'16,16,3.60 GHz,2.60 GHz,40 MB Intel® Smart Cache,145.0
Intel® Xeon® Processor E5-2698 v4,Q1'16,20,3.60 GHz,2.20 GHz,50 MB Intel® Smart Cache,135.0
Intel® Xeon® Processor E5-2699 v4,Q1'16,22,3.60 GHz,2.20 GHz,55 MB Intel® Smart Cache,145.0
Intel® Xeon® Processor E5-2609 v4,Q1'16,8,,1.70 GHz,20 MB Intel® Smart Cache,85.0
Intel® Xeon® Processor E5-2618L v4,Q1'16,10,3.20 GHz,2.20 GHz,25 MB Intel® Smart Cache,75.0
Intel® Xeon® Processor E5-2623 v4,Q1'16,4,3.20 GHz,2.60 GHz,10 MB Intel® Smart Cache,85.0
Intel® Xeon® Processor E5-2628L v4,Q1'16,12,2.40 GHz,1.90 GHz,30 MB Intel® Smart Cache,75.0
Intel® Xeon® Processor E5-2630L v4,Q1'16,10,2.90 GHz,1.80 GHz,25 MB Intel® Smart Cache,55.0
Intel® Xeon® Processor E5-2637 v4,Q1'16,4,3.70 GHz,3.50 GHz,15 MB Intel® Smart Cache,135.0
Intel® Xeon® Processor E5-2640 v4,Q1'16,10,3.40 GHz,2.40 GHz,25 MB Intel® Smart Cache,90.0
Intel® Xeon® Processor E5-2643 v4,Q1'16,6,3.70 GHz,3.40 GHz,20 MB Intel® Smart Cache,135.0
Intel® Xeon® Processor E5-2658 v4,Q1'16,14,2.80 GHz,2.30 GHz,35 MB Intel® Smart Cache,105.0
Intel® Xeon® Processor E5-2660 v4,Q1'16,14,3.20 GHz,2.00 GHz,35 MB,105.0
Intel® Xeon® Processor E5-2667 v4,Q1'16,8,3.60 GHz,3.20 GHz,25 MB Intel® Smart Cache,135.0
Intel® Core™ i7-6660U Processor,Q1'16,2,3.40 GHz,2.40 GHz,4 MB Intel® Smart Cache,15.0
Intel® Xeon® Processor D-1557,Q1'16,12,2.10 GHz,1.50 GHz,18 MB,45.0
Intel® Xeon® Processor D-1567,Q1'16,12,2.70 GHz,2.10 GHz,18 MB,65.0
Intel® Xeon® Processor D-1571,Q1'16,16,2.10 GHz,1.30 GHz,24 MB,45.0
Intel® Xeon® Processor D-1577,Q1'16,16,2.10 GHz,1.30 GHz,24 MB,45.0
Intel® Core™ i5-6350HQ Processor,Q1'16,4,3.20 GHz,2.30 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6770HQ Processor,Q1'16,4,3.50 GHz,2.60 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6870HQ Processor,Q1'16,4,3.60 GHz,2.70 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6970HQ Processor,Q1'16,4,3.70 GHz,2.80 GHz,8 MB Intel® Smart Cache,45.0
Intel® Xeon® Processor E3-1515M v5,Q1'16,4,3.70 GHz,2.80 GHz,8 MB Intel® Smart Cache,45.0
Intel® Xeon® Processor E3-1545M v5,Q1'16,4,3.80 GHz,2.90 GHz,8 MB Intel® Smart Cache,45.0
Intel® Xeon® Processor E3-1575M v5,Q1'16,4,3.90 GHz,3.00 GHz,8 MB Intel® Smart Cache,45.0
Intel Atom® x5-E8000 Processor,Q1'16,4,,1.04 GHz,2 MB,5.0
Intel® Pentium® Processor J3710,Q1'16,4,,1.60 GHz,2 MB L2 Cache,6.5
Intel® Celeron® Processor J3060,Q1'16,2,,1.60 GHz,2 MB L2 Cache,6.0
Intel® Celeron® Processor J3160,Q1'16,4,,1.60 GHz,2 MB L2 Cache,6.0
Intel® Celeron® Processor N3010,Q1'16,2,,1.04 GHz,2 MB L2 Cache,4.0
Intel® Celeron® Processor N3060,Q1'16,2,,1.60 GHz,2 MB L2 Cache,6.0
Intel® Celeron® Processor N3160,Q1'16,4,,1.60 GHz,2 MB L2 Cache,6.0
Intel® Pentium® Processor N3710,Q1'16,4,,1.60 GHz,2 MB L2 Cache,6.0
Intel® Pentium® Processor A1020,Q1'16,4,,2.41 GHz,2 MB L2 Cache,10.0
Intel® Celeron® Processor G3900E,Q1'16,2,,2.40 GHz,2 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G3902E,Q1'16,2,,1.60 GHz,2 MB Intel® Smart Cache,25.0
Intel® Celeron® Processor 3855U,Q4'15,2,,1.60 GHz,2 MB Intel® Smart Cache,15.0
Intel® Celeron® Processor 3955U,Q4'15,2,,2.00 GHz,2 MB Intel® Smart Cache,15.0
Intel® Celeron® Processor G3900,Q4'15,2,,2.80 GHz,2 MB Intel® Smart Cache,51.0
Intel® Celeron® Processor G3900T,Q4'15,2,,2.60 GHz,2 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G3900TE,Q4'15,2,,2.30 GHz,2 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G3920,Q4'15,2,,2.90 GHz,2 MB Intel® Smart Cache,51.0
Intel® Core™ i3-6098P Processor,Q4'15,2,,3.60 GHz,3 MB,54.0
Intel® Core™ i5-6402P Processor,Q4'15,4,3.40 GHz,2.80 GHz,6 MB,65.0
Intel® Pentium® Processor G4400TE,Q4'15,2,,2.40 GHz,3 MB Intel® Smart Cache,35.0
Intel® Pentium® Processor D1507,Q4'15,2,,1.20 GHz,3 MB,20.0
Intel® Pentium® Processor D1508,Q4'15,2,2.60 GHz,2.20 GHz,3 MB,25.0
Intel® Pentium® Processor D1509,Q4'15,2,,1.50 GHz,3 MB,19.0
Intel® Pentium® Processor D1517,Q4'15,4,2.20 GHz,1.60 GHz,6 MB,25.0
Intel® Xeon® Processor D-1518,Q4'15,4,2.20 GHz,2.20 GHz,6 MB,35.0
Intel® Xeon® Processor D-1521,Q4'15,4,2.70 GHz,2.40 GHz,6 MB,45.0
Intel® Xeon® Processor D-1541,Q4'15,8,2.70 GHz,2.10 GHz,12 MB,45.0
Intel® Xeon® Processor D-1527,Q4'15,4,2.70 GHz,2.20 GHz,6 MB,35.0
Intel® Xeon® Processor D-1528,Q4'15,6,2.50 GHz,1.90 GHz,9 MB,35.0
Intel® Xeon® Processor D-1531,Q4'15,6,2.70 GHz,2.20 GHz,9 MB,45.0
Intel® Xeon® Processor D-1537,Q4'15,8,2.30 GHz,1.70 GHz,12 MB,35.0
Intel® Xeon® Processor D-1548,Q4'15,8,2.60 GHz,2.00 GHz,12 MB,45.0
Intel® Xeon® Processor E3-1220 v5,Q4'15,4,3.50 GHz,3.00 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1225 v5,Q4'15,4,3.70 GHz,3.30 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1230 v5,Q4'15,4,3.80 GHz,3.40 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1235L v5,Q4'15,4,3.00 GHz,2.00 GHz,8 MB Intel® Smart Cache,25.0
Intel® Xeon® Processor E3-1240 v5,Q4'15,4,3.90 GHz,3.50 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1240L v5,Q4'15,4,3.20 GHz,2.10 GHz,8 MB Intel® Smart Cache,25.0
Intel® Xeon® Processor E3-1245 v5,Q4'15,4,3.90 GHz,3.50 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1260L v5,Q4'15,4,3.90 GHz,2.90 GHz,8 MB Intel® Smart Cache,45.0
Intel® Xeon® Processor E3-1268L v5,Q4'15,4,3.40 GHz,2.40 GHz,8 MB Intel® Smart Cache,35.0
Intel® Xeon® Processor E3-1270 v5,Q4'15,4,4.00 GHz,3.60 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1275 v5,Q4'15,4,4.00 GHz,3.60 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® Processor E3-1280 v5,Q4'15,4,4.00 GHz,3.70 GHz,8 MB Intel® Smart Cache,80.0
Intel® Core™ i3-6100E Processor,Q4'15,2,,2.70 GHz,3 MB Intel® Smart Cache,35.0
Intel® Core™ i3-6100TE Processor,Q4'15,2,,2.70 GHz,4 MB Intel® Smart Cache,35.0
Intel® Core™ i3-6102E Processor,Q4'15,2,,1.90 GHz,3 MB Intel® Smart Cache,25.0
Intel® Core™ i5-6440EQ Processor,Q4'15,4,3.40 GHz,2.70 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i5-6442EQ Processor,Q4'15,4,2.70 GHz,1.90 GHz,6 MB Intel® Smart Cache,25.0
Intel® Core™ i5-6500TE Processor,Q4'15,4,3.30 GHz,2.30 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i7-6700TE Processor,Q4'15,4,3.40 GHz,2.40 GHz,8 MB Intel® Smart Cache,35.0
Intel® Core™ i7-6820EQ Processor,Q4'15,4,3.50 GHz,2.80 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6822EQ Processor,Q4'15,4,2.80 GHz,2.00 GHz,8 MB Intel® Smart Cache,25.0
Intel® Xeon® Processor E3-1505L v5,Q4'15,4,2.80 GHz,2.00 GHz,8 MB Intel® Smart Cache,25.0
Intel® Core™ i3-6100H Processor,Q3'15,2,,2.70 GHz,3 MB Intel® Smart Cache,35.0
Intel® Core™ i3-6167U Processor,Q3'15,2,,2.70 GHz,3 MB Intel® Smart Cache,28.0
Intel® Core™ i5-6260U Processor,Q3'15,2,2.90 GHz,1.80 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i5-6267U Processor,Q3'15,2,3.30 GHz,2.90 GHz,4 MB Intel® Smart Cache,28.0
Intel® Core™ i5-6287U Processor,Q3'15,2,3.50 GHz,3.10 GHz,4 MB Intel® Smart Cache,28.0
Intel® Core™ i5-6300HQ Processor,Q3'15,4,3.20 GHz,2.30 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i5-6300U Processor,Q3'15,2,3.00 GHz,2.40 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i5-6360U Processor,Q3'15,2,3.10 GHz,2.00 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i5-6440HQ Processor,Q3'15,4,3.50 GHz,2.60 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6500U Processor,Q3'15,2,3.10 GHz,2.50 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i7-6560U Processor,Q3'15,2,3.20 GHz,2.20 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i7-6700HQ Processor,Q3'15,4,3.50 GHz,2.60 GHz,6 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6820HK Processor,Q3'15,4,3.60 GHz,2.70 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6820HQ Processor,Q3'15,4,3.60 GHz,2.70 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i7-6920HQ Processor,Q3'15,4,3.80 GHz,2.90 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ m3-6Y30 Processor,Q3'15,2,2.20 GHz,900 MHz,4 MB Intel® Smart Cache,4.5
Intel® Core™ m5-6Y54 Processor,Q3'15,2,2.70 GHz,1.10 GHz,4 MB Intel® Smart Cache,4.5
Intel® Core™ m5-6Y57 Processor,Q3'15,2,2.80 GHz,1.10 GHz,4 MB Intel® Smart Cache,4.5
Intel® Core™ m7-6Y75 Processor,Q3'15,2,3.10 GHz,1.20 GHz,4 MB Intel® Smart Cache,4.5
Intel® Pentium® Processor 4405U,Q3'15,2,,2.10 GHz,2 MB Intel® Smart Cache,15.0
Intel® Pentium® Processor 4405Y,Q3'15,2,,1.50 GHz,2 MB Intel® Smart Cache,6.0
Intel® Xeon® Processor E3-1505M v5,Q3'15,4,3.70 GHz,2.80 GHz,8 MB Intel® Smart Cache,45.0
Intel® Xeon® Processor E3-1535M v5,Q3'15,4,3.80 GHz,2.90 GHz,8 MB Intel® Smart Cache,45.0
Intel® Core™ i3-6100 Processor,Q3'15,2,,3.70 GHz,3 MB Intel® Smart Cache,51.0
Intel® Core™ i3-6100T Processor,Q3'15,2,,3.20 GHz,3 MB Intel® Smart Cache,35.0
Intel® Core™ i3-6100U Processor,Q3'15,2,,2.30 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i3-6300 Processor,Q3'15,2,,3.80 GHz,4 MB Intel® Smart Cache,51.0
Intel® Core™ i3-6300T Processor,Q3'15,2,,3.30 GHz,4 MB Intel® Smart Cache,35.0
Intel® Core™ i3-6320 Processor,Q3'15,2,,3.90 GHz,4 MB Intel® Smart Cache,51.0
Intel® Core™ i5-6200U Processor,Q3'15,2,2.80 GHz,2.30 GHz,3 MB Intel® Smart Cache,15.0
Intel® Core™ i5-6400 Processor,Q3'15,4,3.30 GHz,2.70 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i5-6400T Processor,Q3'15,4,2.80 GHz,2.20 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i5-6500 Processor,Q3'15,4,3.60 GHz,3.20 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i5-6500T Processor,Q3'15,4,3.10 GHz,2.50 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i5-6600 Processor,Q3'15,4,3.90 GHz,3.30 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i5-6600T Processor,Q3'15,4,3.50 GHz,2.70 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i7-6600U Processor,Q3'15,2,3.40 GHz,2.60 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i7-6650U Processor,Q3'15,2,3.40 GHz,2.20 GHz,4 MB Intel® Smart Cache,15.0
Intel® Core™ i7-6700 Processor,Q3'15,4,4.00 GHz,3.40 GHz,8 MB Intel® Smart Cache,65.0
Intel® Core™ i7-6700T Processor,Q3'15,4,3.60 GHz,2.80 GHz,8 MB Intel® Smart Cache,35.0
Intel® Pentium® Processor G4400,Q3'15,2,,3.30 GHz,3 MB Intel® Smart Cache,54.0
Intel® Pentium® Processor G4400T,Q3'15,2,,2.90 GHz,3 MB Intel® Smart Cache,35.0
Intel® Pentium® Processor G4500,Q3'15,2,,3.50 GHz,3 MB Intel® Smart Cache,51.0
Intel® Pentium® Processor G4500T,Q3'15,2,,3.00 GHz,3 MB Intel® Smart Cache,35.0
Intel® Pentium® Processor G4520,Q3'15,2,,3.60 GHz,3 MB Intel® Smart Cache,51.0
Intel® Core™ i5-6600K Processor,Q3'15,4,3.90 GHz,3.50 GHz,6 MB Intel® Smart Cache,91.0
Intel® Core™ i7-6700K Processor,Q3'15,4,4.20 GHz,4.00 GHz,8 MB Intel® Smart Cache,91.0
Intel® Quark™ Microcontroller D1000,Q3'15,1,,33 MHz,0 KB,0.03
Intel® Core™ i7-6567U Processor,Q3'15,2,3.60 GHz,3.30 GHz,4 MB Intel® Smart Cache,28.0
Intel® Celeron® Processor 3215U,Q2'15,2,,1.70 GHz,2 MB,15.0
Intel® Celeron® Processor 3765U,Q2'15,2,,1.90 GHz,2 MB,15.0
Intel® Core™ i5-5350H Processor,Q2'15,2,3.50 GHz,3.10 GHz,4 MB,47.0
Intel® Core™ i5-5575R Processor,Q2'15,4,3.30 GHz,2.80 GHz,4 MB,65.0
Intel® Core™ i5-5675C Processor,Q2'15,4,3.60 GHz,3.10 GHz,4 MB,65.0
Intel® Core™ i5-5675R Processor,Q2'15,4,3.60 GHz,3.10 GHz,4 MB,65.0
Intel® Core™ i7-5700EQ Processor,Q2'15,4,3.40 GHz,2.60 GHz,6 MB Intel® Smart Cache,47.0
Intel® Core™ i7-5700HQ Processor,Q2'15,4,3.50 GHz,2.70 GHz,6 MB,47.0
Intel® Core™ i7-5750HQ Processor,Q2'15,4,3.40 GHz,2.50 GHz,6 MB,47.0
Intel® Core™ i7-5775C Processor,Q2'15,4,3.70 GHz,3.30 GHz,6 MB,65.0
Intel® Core™ i7-5775R Processor,Q2'15,4,3.80 GHz,3.30 GHz,6 MB,65.0
Intel® Core™ i7-5850EQ Processor,Q2'15,4,3.40 GHz,2.70 GHz,6 MB Intel® Smart Cache,47.0
Intel® Core™ i7-5850HQ Processor,Q2'15,4,3.60 GHz,2.70 GHz,6 MB,47.0
Intel® Core™ i7-5950HQ Processor,Q2'15,4,3.80 GHz,2.90 GHz,6 MB,47.0
Intel® Xeon® Processor E3-1258L v4,Q2'15,4,3.20 GHz,1.80 GHz,6 MB Intel® Smart Cache,47.0
Intel® Xeon® Processor E3-1265L v4,Q2'15,4,3.30 GHz,2.30 GHz,6 MB,35.0
Intel® Xeon® Processor E3-1278L v4,Q2'15,4,3.30 GHz,2.00 GHz,6 MB Intel® Smart Cache,47.0
Intel® Xeon® Processor E3-1285 v4,Q2'15,4,3.80 GHz,3.50 GHz,6 MB,95.0
Intel® Xeon® Processor E3-1285L v4,Q2'15,4,3.80 GHz,3.40 GHz,6 MB,65.0
Intel® Xeon® Processor E5-4610 v3,Q2'15,10,1.70 GHz,1.70 GHz,25 MB,105.0
Intel® Xeon® Processor E5-4650 v3,Q2'15,12,2.80 GHz,2.10 GHz,30 MB,105.0
